,title,release_date,original_language,genres,budget,revenue,runtime,year
0,Meg 2: The Trench,2023-08-02,en,Action-Science Fiction-Horror,129000000.0,352056482.0,116.0,2023
1,The Pope's Exorcist,2023-04-05,en,Horror-Mystery-Thriller,18000000.0,65675816.0,103.0,2023
2,Deadpool & Wolverine,2024-07-24,en,Action-Comedy-Science Fiction,200000000.0,1326387384.0,128.0,2024
3,Transformers: Rise of the Beasts,2023-06-06,en,Action-Adventure-Science Fiction,200000000.0,407045464.0,127.0,2023
4,Dune: Part Two,2024-02-27,en,Science Fiction-Adventure,190000000.0,683813734.0,167.0,2024
5,Ant-Man and the Wasp: Quantumania,2023-02-15,en,Action-Adventure-Science Fiction,200000000.0,475766228.0,125.0,2023
6,Creed III,2023-03-01,en,Drama-Action,75000000.0,269000000.0,116.0,2023
7,Insidious: The Red Door,2023-07-05,en,Horror-Mystery-Thriller,16000000.0,175582093.0,107.0,2023
8,Despicable Me 4,2024-06-20,en,Animation-Family-Comedy-Action,100000000.0,810329715.0,94.0,2024
9,Spider-Man: Across the Spider-Verse,2023-05-31,en,Action-Adventure-Animation-Science Fiction,100000000.0,512609552.0,140.0,2023
10,Kingdom of the Planet of the Apes,2024-05-08,en,Science Fiction-Adventure-Action,160000000.0,391407919.0,145.0,2024
11,Beetlejuice Beetlejuice,2024-09-04,en,Comedy-Fantasy-Horror,100000000.0,402822428.0,105.0,2024
13,Aquaman and the Lost Kingdom,2023-12-20,en,Action-Adventure-Fantasy,205000000.0,397860076.0,124.0,2023
15,Shazam! Fury of the Gods,2023-03-15,en,Action-Comedy-Fantasy-Adventure,125000000.0,133437105.0,130.0,2023
16,Knights of the Zodiac,2023-04-27,en,Fantasy-Action-Adventure,60000000.0,6794519.0,113.0,2023
17,Furiosa: A Mad Max Saga,2024-05-22,en,Action-Adventure-Science Fiction,170000000.0,172775791.0,149.0,2024
18,Napoleon,2023-11-22,en,History-War-Drama,165000000.0,213400000.0,158.0,2023
19,Bad Boys: Ride or Die,2024-06-05,en,Action-Crime-Thriller-Comedy,100000000.0,331957666.0,115.0,2024
21,The Nun II,2023-09-06,en,Horror-Mystery-Thriller,38500000.0,257010000.0,110.0,2023
24,The Creator,2023-09-27,en,Science Fiction-Action-Thriller,80000000.0,102000000.0,134.0,2023
25,Alien: Romulus,2024-08-13,en,Horror-Science Fiction,80000000.0,225439383.0,119.0,2024
29,The Hunger Games: The Ballad of Songbirds & Snakes,2023-11-15,en,Drama-Science Fiction-Action,100000000.0,322300000.0,157.0,2023
30,IF,2024-05-08,en,Comedy-Fantasy-Family,110000000.0,176438104.0,104.0,2024
34,A Quiet Place: Day One,2024-06-26,en,Horror-Science Fiction-Thriller,67000000.0,244911350.0,99.0,2024
35,Shotgun Wedding,2022-12-28,en,Action-Romance-Comedy,0.0,4495365.0,101.0,2022
37,Retribution,2023-08-23,en,Action-Mystery-Thriller-Crime,20000000.0,12905464.0,93.0,2023
42,Puss in Boots: The Last Wish,2022-12-07,en,Animation-Family-Fantasy-Adventure-Comedy,90000000.0,480000000.0,103.0,2022
44,The Garfield Movie,2024-04-30,en,Animation-Comedy-Family-Adventure-Action,60000000.0,221871392.0,101.0,2024
45,Migration,2023-12-06,en,Animation-Action-Adventure-Comedy-Family,72000000.0,289076685.0,83.0,2023
46,Guy Ritchie's The Covenant,2023-04-19,en,War-Action-Thriller,55000000.0,20000000.0,123.0,2023
48,Expend4bles,2023-09-15,en,Action-Adventure-Thriller,100000000.0,58000000.0,103.0,2023
51,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023-07-31,en,Animation-Comedy-Action,70000000.0,161000000.0,100.0,2023
54,John Wick: Chapter 4,2023-03-22,en,Action-Thriller-Crime,90000000.0,426978565.0,170.0,2023
57,Evil Dead Rise,2023-04-12,en,Thriller-Horror,15000000.0,141512122.0,96.0,2023
58,The Exorcism,2024-05-30,en,Horror-Thriller,22000000.0,6354317.0,96.0,2024
63,Fast X,2023-05-17,en,Action-Crime-Thriller,340000000.0,704709660.0,142.0,2023
66,Prey for the Devil,2022-10-23,en,Horror-Thriller,0.0,37655699.0,93.0,2022
67,Twisters,2024-07-10,en,Action-Adventure-Drama,155000000.0,274535650.0,123.0,2024
69,The Fall Guy,2024-04-24,en,Action-Comedy,125000000.0,177843881.0,126.0,2024
72,I Saw the TV Glow,2024-05-03,en,Drama-Horror,10000000.0,4184000.0,100.0,2024
75,The Exorcist: Believer,2023-10-04,en,Horror,30000000.0,46561805.0,111.0,2023
